GeneName,NC_291_C_Pa_yr2,NC_294_C_Pa_yr2,NC_297_C_Pa_yr2,NC_300_C_Pa_yr2,NC_313_C_Pa_yr2,NC_316_C_Pa_yr2,NC_319_C_Pa_yr2,NC_322_C_Pa_yr2,NC_325_C_Pa_yr2,NO_265_La_Pa_yr2,NO_268_La_Pa_yr2,NO_271_La_Pa_yr2,NO_274_La_Pa_yr2,NO_277_La_Pa_yr2,NO_280_La_Pa_yr2,NO_289_La_Pa_yr2,NO_266_N_Pa_yr2,NO_272_N_Pa_yr2,NO_275_N_Pa_yr2,NO_278_N_Pa_yr2,NC_292_La_Pa_yr2,NC_295_La_Pa_yr2,NC_298_La_Pa_yr2,NC_311_La_Pa_yr2,NC_314_La_Pa_yr2,NC_317_La_Pa_yr2,NC_320_La_Pa_yr2,NC_326_La_Pa_yr2,NC_293_N_Pa_yr2,NC_312_N_Pa_yr2,NC_318_N_Pa_yr2,NC_327_N_Pa_yr2,NO_261_C_Pa_yr2,NO_264_C_Pa_yr2,NO_267_C_Pa_yr2,NO_270_C_Pa_yr2,NO_276_C_Pa_yr2,NO_279_C_Pa_yr2,NO_282_C_Pa_yr2,NO_288_C_Pa_yr2
GE911684_Past,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,0,5
GE911695_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GE911700_Past,0,3,1,3,2,0,0,2,0,0,0,0,0,0,0,4,2,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,7,3,1,0,0,0,1,6
GE911707_Past,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GE911721_Past,6,10,4,11,4,4,3,3,18,0,0,3,3,4,0,9,3,0,3,2,1,3,1,1,7,8,0,4,0,1,10,9,7,11,8,1,9,7,1,14
GE911724_Past,0,6,3,4,2,8,1,2,4,0,0,2,0,3,0,9,2,0,2,1,0,1,1,0,4,2,0,1,0,0,0,1,3,9,12,2,3,7,3,4
GE911726_Past,5,5,4,14,6,4,3,2,7,0,0,2,1,3,0,7,2,0,6,3,0,1,4,0,2,4,0,5,0,0,6,2,8,8,16,2,8,5,0,6
GE911746_Past,8,5,0,0,2,0,3,0,11,0,0,0,0,1,0,2,0,0,0,3,0,0,4,0,2,0,0,1,0,0,0,6,1,3,3,0,0,5,2,2
GE911761_Past,2,3,3,12,3,4,1,0,8,0,0,1,0,1,0,6,4,0,2,2,0,0,2,0,1,9,0,3,0,0,5,7,8,15,7,2,5,7,2,6
GE911772_Past,0,0,0,2,1,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,3,0,2,0,0,0,3,0,2,1,0,0,1,0,2
GE911774_Past,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
GE911782_Past,8,17,2,21,7,2,4,6,26,0,0,8,2,5,0,11,5,0,6,8,0,5,5,0,6,3,0,12,0,0,5,2,8,16,12,2,10,3,3,7
GE911787_Past,9,23,9,16,4,6,5,6,30,0,1,5,7,10,0,10,7,0,9,11,0,2,4,0,5,9,0,8,0,0,7,9,12,12,20,7,11,8,8,14
GE911807_Past,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
GE911819_Past,1,2,0,5,1,2,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,13,0,2,0,0,0,0,0,1,0,0,9,0,3,1,2,1,4
GE911839_Past,0,0,2,38,0,0,0,0,0,1,0,1,0,1,0,1,2,0,0,2,0,0,31,0,0,0,0,0,0,0,1,0,4,180,3,18,0,0,0,0
GE911842_Past,1,5,7,5,3,4,5,7,9,0,0,0,1,3,0,2,3,0,1,6,0,1,3,0,1,7,0,4,0,0,4,3,4,2,0,2,1,7,0,12
GE911864_Past,12,0,6,0,0,4,5,0,6,0,0,6,0,0,0,0,1,0,3,0,0,0,1,0,2,2,0,3,0,0,1,3,1,0,1,6,2,4,0,0
GE911866_Past,1,5,0,4,1,4,1,1,6,0,0,2,1,0,0,4,0,0,1,6,0,0,2,0,3,2,0,1,0,0,3,4,7,4,2,0,2,5,1,9
GE911879_Past,14,25,15,34,12,13,7,15,26,0,1,5,16,5,2,22,11,0,11,22,0,2,9,1,11,9,1,10,0,0,18,23,23,22,18,10,21,9,6,20
GE911890_Past,1,7,3,4,2,4,1,1,4,0,0,0,2,1,0,6,5,0,5,9,0,1,2,0,3,2,0,0,0,0,5,1,5,4,2,4,2,5,0,4
GE911891_Past,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0
GE911928_Past,5,13,8,15,10,8,7,9,18,1,0,4,3,1,0,22,3,0,3,11,0,2,4,0,11,9,0,7,0,0,4,13,21,13,12,7,14,10,3,11
GE911967_Past,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0
GE911977_Past,0,5,1,1,3,3,1,6,4,0,0,0,0,1,0,7,1,0,2,2,0,3,2,0,4,6,0,0,0,0,1,4,6,3,11,0,2,8,0,11
GE911993_Past,2,2,2,0,0,8,7,0,1,0,0,0,0,0,0,1,10,0,0,20,0,0,0,0,1,2,0,0,0,0,11,2,0,0,6,1,1,0,5,5
GE912002_Past,2,7,2,8,3,6,2,2,12,0,0,6,4,0,1,7,10,0,3,7,0,0,6,0,3,7,0,1,0,0,7,8,8,10,4,0,10,6,9,10
GE912003_Past,0,0,1,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,2,2,0,0,0,3,0,3,0,2
GE912045_Past,3,3,6,16,5,9,2,2,8,0,0,2,1,0,0,7,3,0,2,4,0,0,2,0,4,4,0,7,0,0,1,4,4,7,8,0,2,5,1,5
GE912047_Past,1,0,1,2,1,1,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
GE912067_Past,20,26,22,35,15,25,15,14,36,0,1,10,9,12,0,45,16,1,16,30,0,3,7,0,11,19,0,16,0,0,33,44,57,50,59,2,31,33,11,32
GE912092_Past,2,4,1,1,0,4,1,2,3,1,0,0,1,1,0,0,1,0,0,1,0,2,2,0,1,4,0,0,0,0,1,1,0,3,1,1,1,6,2,1
GE912113_Past,1,9,1,1,3,4,0,5,6,0,0,1,1,2,0,7,2,0,1,5,0,4,0,0,0,0,0,0,0,0,0,1,4,0,5,1,1,1,1,4
GE912147_Past,1,3,3,3,1,5,1,2,4,0,0,1,1,3,0,1,2,0,1,2,0,3,1,0,2,0,0,2,0,0,1,1,4,6,3,5,4,4,4,6
GE912157_Past,2,2,0,3,4,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,1,0,0,3,1,2,3
GE912160_Past,4,10,3,2,5,3,0,1,13,0,0,1,1,4,0,7,3,0,0,2,0,0,2,0,4,6,0,10,0,0,6,1,6,3,1,0,3,3,3,4
GE912171_Past,3,9,2,3,3,1,1,1,14,1,0,2,1,4,0,8,2,0,1,2,0,3,1,0,3,5,0,0,0,0,5,2,2,1,6,1,4,5,3,7
GE912191_Past,0,11,7,27,3,5,2,2,21,0,0,2,8,2,0,5,1,0,10,4,0,1,2,0,6,3,0,11,0,0,6,8,12,6,17,1,2,8,8,11
GE912199_Past,1,1,1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
