"gene","NC_291_C_Pa_yr2","NC_294_C_Pa_yr2","NC_297_C_Pa_yr2","NC_300_C_Pa_yr2","NC_313_C_Pa_yr2","NC_316_C_Pa_yr2","NC_319_C_Pa_yr2","NC_322_C_Pa_yr2","NC_325_C_Pa_yr2","NO_265_La_Pa_yr2","NO_268_La_Pa_yr2","NO_271_La_Pa_yr2","NO_274_La_Pa_yr2","NO_277_La_Pa_yr2","NO_280_La_Pa_yr2","NO_289_La_Pa_yr2","NC_295_La_Pa_yr2","NC_298_La_Pa_yr2","NC_314_La_Pa_yr2","NC_317_La_Pa_yr2","NC_326_La_Pa_yr2","NO_261_C_Pa_yr2","NO_264_C_Pa_yr2","NO_267_C_Pa_yr2","NO_270_C_Pa_yr2","NO_276_C_Pa_yr2","NO_279_C_Pa_yr2","NO_282_C_Pa_yr2","NO_288_C_Pa_yr2"
"GE916320_Past",23.6084348101914,25.9291061408075,11.489923478825,18.6956788640175,8.28435973030773,17.0019422347405,16.2143660212494,14.731564562407,24.2074516770938,9.74575991409087,0,16.6541142863371,17.9763815996896,18.0873038197371,0,29.5582049507877,26.3113130093047,13.7218968661042,15.0955261765135,24.3524126292336,24.0347027668097,18.4073068417166,16.0806289012229,36.7014111517338,7.19208259020194,18.6083386954379,26.5068432532164,20.3474638836564,14.3385757011084
"GE916342_Past",5.13226843699812,7.82765468401737,6.46308195683904,9.97102872747601,8.28435973030773,4.95889981846599,5.40478867374981,6.79918364418786,10.2881669627649,29.2372797422726,5.90409304700066,4.44109714302323,4.14839575377452,4.01940084883047,0,6.56848998906394,5.84695844651215,5.2776526408093,2.8753383193359,6.408529639272,9.61388110672386,4.60182671042914,6.82208498839759,5.59852034517974,5.39406194265145,8.89964024564421,7.79613036859306,4.52165864081254,4.60882790392771
"GE916396_Past",1.02645368739963,3.91382734200869,1.43624043485312,2.492757181869,2.76145324343591,4.25048555868513,2.7023943368749,2.26639454806262,1.21037258385469,0,0,1.11027428575581,1.38279858459151,0,12.7471504602539,5.16095641997881,1.94898614883738,2.11106105632372,0,2.5634118557088,3.84555244268954,4.0265983716255,3.89833427908434,4.35440471291757,1.79802064755048,7.28152383734527,4.15793619658297,3.39124398060941,3.07255193595181
"GE916432_Past",21.5555274353921,7.82765468401737,9.33556282654527,12.8792454396565,9.20484414478637,11.3346281564937,5.40478867374981,5.66598637015655,8.7752012329465,97.4575991409087,76.7532096110086,6.66164571453484,12.4451872613236,9.04365190986856,216.701557824317,6.09931213270223,5.84695844651215,9.49977475345673,10.0636841176756,8.97194149498081,13.4594335494134,6.90274006564372,11.695002837253,18.6617344839325,17.9802064755048,7.28152383734527,7.27638834402019,9.04331728162508,9.72974779718072
"GE916472_Past",4.1058147495985,4.89228417751086,3.5906010871328,4.57005483342651,2.76145324343591,11.3346281564937,0,2.26639454806262,3.93371089752774,0,0,3.33082285726742,6.91399292295754,4.01940084883047,0,6.09931213270223,0.974493074418692,3.16659158448558,7.90718037817372,2.5634118557088,1.92277622134477,5.75228338803643,4.38562606396988,9.33086724196623,1.79802064755048,8.09058204149474,5.19742024572871,7.91290262142195,3.07255193595181
"GE916497_Past",15.3968053109944,21.0368219632967,24.416087392503,19.111138394329,22.0916259474873,14.1682851956171,19.817558470416,18.131156384501,19.0633681957113,19.4915198281817,0,15.5438400005813,8.29679150754905,12.0582025464914,0,17.828758541745,15.5918891906991,33.7769769011795,11.5013532773436,17.9438829899616,12.498045438741,21.2834485357348,19.0043796105361,15.5514454032771,21.5762477706058,33.1713863701284,18.7107128846233,19.2170492234533,20.9957715623374
"GE916533_Past",6.15872212439775,9.78456835502172,18.6711256530905,11.632866848722,12.8867818027009,12.7514566760554,1.80159622458327,14.731564562407,11.1959464006559,9.74575991409087,0,5.55137142877903,9.67959009214055,6.0291012732457,0,12.6678021217662,9.74493074418692,15.8329579224279,5.03184205883782,11.5353533506896,13.4594335494134,6.32751172684007,11.2077110523675,11.1970406903595,16.1821858279544,12.9449312663916,15.5922607371861,19.2170492234533,12.8022997331325
"GE916552_Past",0,2.44614208875543,0,2.9082167121805,1.84096882895727,2.83365703912342,0,2.26639454806262,2.42074516770938,0,0,2.22054857151161,0,6.0291012732457,0,4.22260070725539,4.87246537209346,0,1.43766915966795,3.8451177835632,0,5.75228338803643,4.87291784885542,4.97646252904866,1.79802064755048,2.42717461244842,2.59871012286435,1.13041466020314,3.58464392527711
"GE916631_Past",9.23808318659663,6.8491978485152,4.30872130455936,9.55556919716451,9.20484414478637,3.54207129890428,7.20638489833308,11.3319727403131,4.53889718945508,0,0,7.77192000029064,6.91399292295754,2.00970042441523,0,8.91437927087249,4.87246537209346,6.33318316897115,5.03184205883782,7.04938260319921,14.4208216600858,8.62842508205465,11.695002837253,8.70880942583515,10.7881238853029,13.7539894705411,6.23690429487445,5.65207330101568,10.7539317758313
"GE916664_Past",14.3703516235948,18.1014514567902,17.2348852182374,14.125624030591,12.8867818027009,15.5851137151788,9.90877923520798,16.9979591104697,15.4322504441473,9.74575991409087,5.90409304700066,11.1027428575581,8.29679150754905,15.0727531831143,0,14.544513547213,8.77043766976822,11.6108358097805,15.0955261765135,12.817059278544,7.69110488537909,16.106393486502,12.6695864070241,23.01613919685,8.99010323775242,21.0355133078863,16.112002761759,16.956219903047,15.362759679759
